id,Nombre Comercial,Clasificación,Categoría,Dirección,Dirección Web
3867,PIKAZZO,DISCOTECA,SEGUNDA,MARCEL LANIADO Y CIRCUNVALACION NORTE,www.pikazzovip.com
3868,GRILL'S ESPECIALISTAS EN COSTILLAS,RESTAURANTE,TERCERA,ARIZAGA Y SEPTIMA OESTE,
3869,LA MORENITA GRILL,RESTAURANTE,TERCERA,"C.C. ALBAN BORJA, LOCAL 92",
3870,SMIR,HOSTAL,1 Estrellas,Tungurahua sn Azuay y Bolivar,
3871,BRISA Y MAR,RESTAURANTE,TERCERA,AV. LOS SHYRIS Y LOS INCAS,
3872,YOSELINE,FUENTE DE SODA,TERCERA,PRESIDENTE CORDOVA 9-52 Y BENIGNO MALO,
3873,HOTEL PUERTOVENTURA,HOTEL,2 Estrellas,Marcel Laniado SN Babahoyo,
3874,CORNELIO`S ARMIJOS,HOSTAL,1 ESTRELLAS,Piedras S26-106 Y Cusubamba,
3875,DASHY,RESTAURANTE,SEGUNDA,GALERIA DEL SOL. URB. DEL SOL,
3876,CASSAVE CITIMED,FUENTE DE SODA,SEGUNDA,MARIANA DE JESÚS OE7-02 Y NUÑO DE VALDERRAMA,
3877,NAPOLI,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. ARIZAGA Y LUIS ANGEL LEON,
3878,REY PLAZA,HOTEL,2 Estrellas,GUAYAQUIL S/N COLON Y SUCRE,
3879,FRIENDS RM CAFE,RESTAURANTE,TERCERA,9 DE MAYO ENTRE BOLIVAR Y PICHINCHA,
3880,EL PATRO FOOD DRINKS,RESTAURANTE,(1) Un tenedor,,
3881,HOSTAL CHIMBORAZO,HOSTAL,1 Estrellas,JOSE JUAQUIN DE OLMEDO 3-56 NUÑEZ DE BONILLA,
3882,GRAN DORADO MACHALA,HOSTAL,1 Estrellas,OLMEDO S/N GUAYAS Y 9 DE MAYO,
3883,NUOVA CENA,RESTAURANTE,SEGUNDA,19 DE OCTUBRE E/ REPUBLICA Y TENIENTE CORDOVEZ,
3884,CARRION´S,HOSTAL,1 Estrellas,VIA GUALEL SN SN,
3885,CASA DEL TIGRILLO LA,RESTAURANTE,SEGUNDA,C.C. ORO PLAZA,
3886,HEIKE,RESTAURANTE,SEGUNDA,RODOLFO VEINTIMILLA(6TA. OESTE) ARIZAGA,
3887,TOQUE COSTEÑO EL ,RESTAURANTE,TERCERA,LUIS CORDERO 5-87 Y JUAN JARAMILLO,
3888,"POLLO BROSTER DE LA ZONA, SUC 2",RESTAURANTE,TERCERA,ARIZAGAY BUENAVISTA,
3889,POLLO BROSTER D LA ZONA,RESTAURANTE,(1) Un tenedor,ARIZAGA S/N BUENAVISTA Y COLON,
3890,EL RETORNO,RESTAURANTE,TERCERA,SUCRE E/ VOLTER PALADINES Y JAMBELI,
3891,EMPANADA REPUBLIK,FUENTE DE SODA,TERCERA,GIOVANNY FARINA 288 E ISLA ESPAÑOLA,
3892,SABOR MACHALEÑA,RESTAURANTE,CUARTA,"CDLA. GARZOTA, SOLAR 19, MZ. 73",
3893,TOP CHICKEN,RESTAURANTE,TERCERA,"CENTRO COMERCIAL ORO PLAZA, LOCAL 131",
3894,NEFERTITI LOUNGE&BAR,DISCOTECA,SEGUNDA,BARRIO 11 DE NOVIEMBRE,
3895,HORNADO AL PASO 2,RESTAURANTE,TERCERA,GUAYAS ENTRE BOLIVAR Y PICHINCHA,
3896,DE AVILA,RESTAURANTE,TERCERA,VIA PANAMERICANA,
3897,CASA INGLESA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,SAN JOSE DE ANCON BARRIO INGLES AVENIDA ELIZABETH QUEEN,
3898,SEÑOR YOGY,FUENTE DE SODA,PRIMERA,CENTRO COMERCIAL ORO PLAZA,
3899,CREPES AND ROLLS,FUENTE DE SODA,SEGUNDA,CENTRO COMERCIAL ORO PLAZA. LOCAL 130,
3900,LUA MACHALA,DISCOTECA,SEGUNDA,ARIZAGA INTERSECCION PAJONAL,
3901,RIVALU,RESTAURANTE,TERCERA,PARAGUAY 02-35 Y ESTADOS UNIDOS,
3902,MERCEDES LAS ,RESTAURANTE,CUARTA,AV. CAÑARIBAMBA Y AV. PASAJE,
3903,BRISAS DEL OVERAL,TERMAS Y BALNEARIOS,SEGUNDA,CALLE S/N CIUDADELA IMBABURA,
3904,IOGU,FUENTE DE SODA,SEGUNDA,"BOLIVAR, INTERSECCION AYACUCHO",
3905,DON BURGUER,RESTAURANTE,TERCERA,ARIZAGA Y PAJONAL,
3906,MI POLLAZO A LA PLANCHA,RESTAURANTE,CUARTA,SUCRE E/ COLON E INDEPENDENCIA,
3907,THOMS ,RESTAURANTE,TERCERA,COLON Y ARIZAGA,
3908,LEOMAR,TERMAS Y BALNEARIOS,SEGUNDA,VIA PUERTO GRANDE,
3909,CHURRERIA WILLY COFFEE & CHOCOLATE,CAFETERÍA,TERCERA,SUCRE 10-10 Y PADRE AGUIRRE,
3910,POSADA DEL SOL ZARUMA,TERMAS Y BALNEARIOS,SEGUNDA,VIA SALVIAS,
3911,D´ANGELO ALL GRILL,RESTAURANTE,SEGUNDA,9 DE MAYO Y PICHINCHA,
3912,SEÑOR BOLON,CAFETERÍA,TERCERA,BARRIO 9 OCTUBRE AV. CARLOS ESPINOZA LARREA ,
3913,ALBAHACA,RESTAURANTE,SEGUNDA,SANTA ROSA E/9NA Y 10MA NORTE,
3914,FAST GRILL,RESTAURANTE,TERCERA,CIUDADELA FERNANDO DAKILEMA,
3915,PIQUEOS BAR,BAR,TERCERA,9 DE OCTUBRE Y ELOY ALFARO,
3916,CHOZA DEL LOBO LA,RESTAURANTE,TERCERA,"AV. EUGENIO CAJAMARCA, BARRIO EL ARENAL",
3917,DEL RIO,RESTAURANTE,CUARTA,ANTIGUA VIA GIRON PASAJE,
3918,PIZZA RIMINI,RESTAURANTE,TERCERA,CALLE SUCRE,
3919,BOLONES DE LA MONA,CAFETERÍA,CUARTA,24 DE MAYO ESQUINA Y CHILCAPAMBA,
3920,HOSTAL EL BANANERO,HOSTAL,2 Estrellas,AVENIDA 25 DE JUNIO S/N PRIMERA ENTRADA A CDLA. LAS BRISAS,
3921,VILLA SANTA LUCIA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,"AV. LA FERROVIARIA, INTERSECCION JUAN MONTALVO",
3922,CRIOLLITO EL ,RESTAURANTE,CUARTA,VIA GIRON PASAJE ENTRADA A SANTA ISABEL,
3923,CASA NATURA GALAPAGOS,LODGE,4 Estrellas,VIA AL CAMOTE SIN NUMERO VIA AL CAMOTE,www.galapagoswalker.com.ec
3924,CAÑITAS PICANTERIA LAS ,RESTAURANTE,SEGUNDA,AV LA REPUBLICA Y MARTHA BUCARAN,
3925,SON DE MAR,HOSTERÍA,TERCERA,JAMBELI,
3926,PRELI LA,DISCOTECA,SEGUNDA,MARCEL LANIADO Y CIRCUNVALACION NORTE,
3927,MISQUILLA,BAR,TERCERA,CALLE 13 DE MAYO,
3928,MISQUILLA,FUENTE DE SODA,TERCERA,CALLE 13 DE AMYO,
3929,HOTEL ESTEFANIA,HOSTAL,1 Estrellas,PASAJE SN 9 DE MAYO Y JUAN MONTALVO,
3930,KE CHIDDO,RESTAURANTE,SEGUNDA,CDLA. LAS BRISAS,
3931,NIDIA FUZZION PARTY,DISCOTECA,(2) Dos copas,CALLE LARGA 6-111 BORRERO,
3932,MACHALIFORNIA,RESTAURANTE,(1) Un tenedor,calle 16  SE CIUDADELA LAS BRISAS BRISAS A-1 N6,
3933,CASTBEC,TERMAS Y BALNEARIOS,SEGUNDA,PARROQUIA URBANA VALLE HERMOSO,
3934,YOGURT YOOY,FUENTE DE SODA,SEGUNDA,"LA GARZOTA, PLAZA LA GARZOTA, L-29",
3935,PINGUINO,FUENTE DE SODA,TERCERA,25 DE JUNIO Y VELA,
3936,MASTER CHEF GOURMET,RESTAURANTE,CUARTA,9 DE OCTUBRE Y SIMON BOLIVAR,
3937,FIZZ LOUNGE & DRINKS,DISCOTECA,(2) Dos copas,MANUEL SERRANO sn BUENAVISTA Y COLON,
3938,EL CUERVO,BAR,TERCERA,CALLE BOLIVAR Y JUAN LEON MERA,
3939,LA TERRAZA STEAK HOUSE ,RESTAURANTE,(1) Un tenedor,Av. La Independenica SN 8 de Noviembre,
3940,ABAD COFFE LOUNGE,CAFETERÍA,(1) Una tazas,,
3941,MELISSA,RESTAURANTE,CUARTA,ELOY BARROS Y 24 DE ENERO,
3942,HELECHOS LOS ,RESTAURANTE,TERCERA,ISAURO RODRIGUEZ Y JOSE PERALTA,
3943,CHEVERIXO BEER AND GRILL,RESTAURANTE,TERCERA,A. MALECON GENERAL CORDOVA,
3944,SABOR DEL CHEFF EL ,RESTAURANTE,CUARTA,10 DE AGOSTO Y CUARTA NORTE,
3945,HOTEL EMICHAL,HOSTAL,1 Estrellas,25 DE JUNIO 335 23 DE ABRIL Y NAPOLEON MERA,
3946,DELIMAY,RESTAURANTE,TERCERA,BOYACA Y NAPOLEON MERA,
3947,HELADERIA PORTOVELO,FUENTE DE SODA,TERCERA,10 DE AGOSTO Y ROSA VIVAR,
3948,VINO TAMARINDO,RESTAURANTE,SEGUNDA,OCTAVA SUR Y CIRCUNVALACION SUR ,
3949,ASADERO DE POLLO EL DORADO,RESTAURANTE,TERCERA,AV. LA INDEPENDENCIA,
3950,COFFEE STATION,CAFETERÍA,SEGUNDA,CENTRO COMERCIAL SOLARIS LOCAL 3,
3951,ATLANTIDA,RESTAURANTE,TERCERA,10 DE AGOSTO Y EMILIO GRANDA,
3952,A LA PARRILLA,RESTAURANTE,(2) Dos tenedores,,
3953,EL MANABA,RESTAURANTE,TERCERA,19 DE OCTUBRE ENTRE REPUBLICA Y TENIENTE CORDOVEZ,
3954,AL CALLAO,RESTAURANTE,TERCERA,CIUDADELA LAS BRISAS,
3955,MAYERLI,RESTAURANTE,TERCERA,VIA TORATA PIÑAS,
3956,INDERA,CAFETERÍA,TERCERA,18 DE NOVIEMBRE 201-50 Y 10 DE AGOSTO,
3957,MARISQUERIA REALES TAMARINDO,RESTAURANTE,TERCERA,"AV. LA INDEPENDENCIA, FRENTE A LA URNA DE SAN JOSE",
3958,HOSTAL BUENOS AIRES,HOSTAL,2 ESTRELLAS,BUENOS AIRES OE3-08 JUAN LARREA,
3959,PALMITA,HOSTAL,TERCERA,ALAN PEÑARANDA Y CESAR AMADOR,
3960,TAHUIN,TERMAS Y BALNEARIOS,SEGUNDA,VIA CAPIRO SITIO TAHUIN,
3961,CATEDRAL CUENCA,HOTEL,2 Estrellas,PADRE AGUIRRE 8-19 SUCRE Y BOLIVAR,
3962,CASONA BAR DISCOTEC,BAR,TERCERA,CALLE AV. GENERAL ENRIQUEZ No. 2648 Y CALERA,
3963,SAZON DEL COSTEÑITO LA,RESTAURANTE,TERCERA,BOLIVAR ENTRE GUAYAS Y AYACUCHO,
3964,HOSTAL YUNGUILLA,HOSTAL,3 Estrellas,VIA GIRON PASAJE S/N ENTRADA A SANTA ISABEL,
3965,DORY,RESTAURANTE,TERCERA,ROCAFUERTE E/JUAN MONTALVO Y COLON,
3966,DORY ASADERO,RESTAURANTE,(1) Un tenedor,Rocafuerte SN Juan Montalvo y Colón,
3967,HAWAII DE MIAMI,RESTAURANTE,SEGUNDA,AV. LA REPUBLICA Y MARTHA BUCARAN,
3968,CHARROS TEQUILA,BAR,SEGUNDA,BOLIVAR Y SAN FRANCISCO,
3969,SUISSE FONDUE LOUNGE,RESTAURANTE,SEGUNDA,AV. 25 DE JUNIO URANIZACION CIUDAD DEL SOL,
3970,DISCOTECA INXS PUNTO CALIENTE,DISCOTECA,SEGUNDA,CALLE ATAHUALPA,
3971,CINCO MENTARIOS,BAR,SEGUNDA,SAN FRANCISCO Y 26 DE NOVIEMBRE,
3972,TACO HOME,FUENTE DE SODA,SEGUNDA,"AV. 25 DE JUNIO Y AYACUCHO,ESQ.",
3973,A DONDE DANILO,RESTAURANTE,SEGUNDA,AV. EUGENIO CAJAMARCAY MONGOTMERY SANCHEZ,
3974,SALON DE SAM EL,RESTAURANTE,TERCERA,JUAN JOSE  LOAYZA Y JOSE JOAQUIN DE OLMEDO,
3975,HOSTAL ESTEFANIA,HOSTAL,TERCERA,PASAJE E/.JUAN MONTALVO Y 9 DE MAYO,
3976,RINCON PAISA EL,BAR,SEGUNDA,ISLA BALTRA 321 Y AV RUMIÑAHUI,
3977,RINCON PAISA EL,RESTAURANTE,TERCERA,ISLA BALTRA 321 Y AV RUMIÑAHUI,
3978,BOMBA CLUB LA,DISCOTECA,SEGUNDA,CALLE CRISTOBAL COLON Y FILOMENO PESANTES,
3979,SIN COMENTARIOS,BAR,TERCERA,26 DE NOVIMBRE Y SAN FRANCISCO,
3980,PANGU,RESTAURANTE,(1) Un tenedor,TARQUI SN BOLIVAR,
3981,MORUZZ,RESTAURANTE,TERCERA,VELA Y BOLIVAR,
3982,VIP PARADISE,RESTAURANTE,SEGUNDA,GUABO Y NAPOLON MERA,
3983,SHOORA,RESTAURANTE,SEGUNDA,"AV. ALONSO DE MERCADILLO, LA Y",
3984,BRAMDI,RESTAURANTE,SEGUNDA,AV. 25 DE JUNIO E/ 23 DE ABRIL Y NAPOLEON MERA,
3985,TUTIS,TERMAS Y BALNEARIOS,SEGUNDA,AVENIDA LA COCHA,
3986,MARY,RESTAURANTE,CUARTA,LEOPOLDO DAVILA 20-02 Y MARIANO ESTRELLA,
3987,THE TIKI LOUNGE,RESTAURANTE,(1) Un tenedor,AVENIDA MALECON S/N CALLE LUPERCIO BAZAN,
3988,POYEAH,RESTAURANTE,TERCERA,AV. FERROVIARIA KM 3.5 TERMINAL TERRESTRE DE MACHALA,
3989,HILLARY DELI SUCURSAL,CAFETERÍA,TERCERA,TERMINAL TERRESTRE DE MACHALA,
3990,MOJITOS,RESTAURANTE,(1) Un tenedor,Av. Sucre sn Manuel Encalada,
3991,SEKRETOS,BAR,TERCERA,AV. LA REPUBLICA Y GUAYAS,
3992,ARTIKA,BAR,TERCERA,AV. ESMERALDAS Y SUCRE,
3993,VILLA COLON,RESTAURANTE,TERCERA,COLON E/ SUCRE Y 25 DE JUNIO,
3994,D`CLAUS,DISCOTECA,SEGUNDA,SAN FRANCISCO Y VIA PANAMERICANA,
3995,HOTEL GUZMAN INTERNACIONAL,HOTEL,2 Estrellas,Av. 24 de mayo  6-85 Miguel de Santiago ,
3996,LR EL CAPITAN,RESTAURANTE,TERCERA,PALMERAS Y ROCAFUERTE,
3997,L.R EL CAPITAN ,RESTAURANTE,TERCERA,BOLIVAR Y COLON,
3998,"L.R. EL CAPITAN, SUC.",RESTAURANTE,TERCERA,AV LAS PALMERAS E/ 25 DE JUN IO Y ROCAFUETE,
3999,EXXO,DISCOTECA,SEGUNDA,"CALLE LOS RIOS, MANUELA CAÑIZARES Y SAENZ",
4000,ROCKY,RESTAURANTE,TERCERA,BUENAVISTA ENTRE SUCRE Y OLMEDO,
4001,TETRIS,BAR,TERCERA,ELOY ALFARO Y COLON,
4002,BALSEÑITO2,RESTAURANTE,CUARTA,JUAN MONTALVO Y EL MANANTIAL,
4003,KAMPAK WASI,HOTEL,2 Estrellas,Principal s/n SN,
4004,ORO PLAZA D.B.,HOSTAL,2 Estrellas,8 DE SEPTIEMBRE S/N 24 DE ENERO,
4005,DIVINO NIÑO,FUENTE DE SODA,TERCERA,KM.47 VIA ALOAG SANTO DOMINGO,
4006,EL COLORADO,RESTAURANTE,(1) Un tenedor,VÍA SHUSHUFINDI Km 5 00 VIA LOS LAURELES,
4007,CHIFA 99,RESTAURANTE,TERCERA,ROCAFUERTE Y COLON,
4008,MOE'S TAVERN,BAR,TERCERA,"AV. RIO SIETE Y ARTURO TOALONGO, BARRIO 3 DE NOVIEMBRE",
4009,HORNADO AL PASO 1,RESTAURANTE,TERCERA,ARIZAGA Y AV. EL PERIODISTA,
4010,VALU,FUENTE DE SODA,TERCERA,PAEZ Y MARCEL LANIADO,
4011,TIKY LOUNGE,BAR,TERCERA,IMBABURA 206 Y PANAMA,
4012,MANGLARES DE PUERTO JELI,RESTAURANTE,(1) Un tenedor,,
4013,PEZ DORADO,RESTAURANTE,CUARTA,PALMERAS E/ GUABO Y BOYACA,
4014,RUSTI CRAB,RESTAURANTE,TERCERA,PROLONGACION JUAN X MARCOS,
4015,TERTULIA,CAFETERÍA,TERCERA,"PARQUE CENTRAL, JUNTO IGLESIA MATRIZ",
4016,ROMANS RESTAURANT,RESTAURANTE,(1) Un tenedor,Vela 1602 Bolivar,
4017,ROLAND,RESTAURANTE,SEGUNDA,SUCRE E INTERSECCION SUAREZ PIMENTEL,
4018,EL SALMON DORADO II,RESTAURANTE,(1) Un tenedor,GUAYAS S/N CARCHI,
4019,FUENTE DE SODA Q RICURA,FUENTE DE SODA,SEGUNDA,10 DE AGOSTO Y MACHALA,
4020,CELOS LOUNGE BAR KARAOKE,DISCOTECA,SEGUNDA,AV. AZUAY E/ 9 DE OCTUBRE Y MACHALA,
4021,PICANTERIA HOLA LA OLA,RESTAURANTE,TERCERA,EUGENIO CAJAMARCA,
4022,CEVICHERIA EL SUBMARINO,RESTAURANTE,TERCERA,AV. 9 DE OCTUBRE Y AZUAY,
4023,COPA CABANA,FUENTE DE SODA,TERCERA,AV. 25 DE JUNIO E/ 9 DE MAYO Y JUAN MONTALVO,
4024,MARCA B L I,RESTAURANTE,(1) Un tenedor,Calle quito S/N Entre Guayaquil y portoviejo,
4025,SR,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA, VACAS GALINDO Y LIBERTAD,
4026,ESPIGA DORRADA,BAR,TERCERA,AV. 8 DE DICIEMBRE,
4027,NOSTRA PIZZERIA,RESTAURANTE,TERCERA,AV. ANTONIO JOSE DE SURE E/24 DE MAYO,
4028,KL EL CAPITAN,RESTAURANTE,TERCERA,BUENAVISTA Y MARCEL LANIADO,
4029,MON GRILL,RESTAURANTE,TERCERA,MARCEL LANIADO E/ 10DE AGOSTO Y BABAHOYO,
4030,EL CARTEL LAS CALEÑAS,DISCOTECA,(1) Una copa,,
4031,FOXI,DISCOTECA,SEGUNDA,AV. LA REPUBLICA Y PASAJE,
4032,HOSTAL ECO KARMEL,HOSTAL,2 ESTRELLAS,ITALIA N33-27 ALEMANIA,
4033,HOSTAL VISTA AMAZONAS,HOSTAL,2 ESTRELLAS,AMAZONAS N23-56 Y VEINTIMILLA,
4034,BARON DE LA CERVEZA,DISCOTECA,SEGUNDA,"AV. 8 DE DIDCIEMBRE, SECTOR EL FAIKE",
4035,BACARDI,DISCOTECA,SEGUNDA,HUGO BARZALLO S/N Y ERNESTO TOALONGO,
4036,ENTRE PISCOS,BAR,TERCERA,PICHINCHA Y JUAN MONTALVO,
4037,AMARUZZ CAFE,CAFETERÍA,(2) Dos tazas,25 DE JUNIO 381 NAPOLEON MERA,
4038,CHOZA D WILU KALLARI MIKUNA WASI,RESTAURANTE,CUARTA / 1 TENEDOR,MANUEL LARREA N19-90 y 18 DE SEPTIEMBRE,
4039,CHEFF ARLY,RESTAURANTE,SEGUNDA,ROCAFUERTE CALLEJON BANAORO,
4040,TARQUI HOTEL Y SUITES,HOTEL,3 Estrellas,Tarqui  969 gran Colombia,
4041,LA CHOZA DEL TIGRE,RESTAURANTE,(1) Un tenedor,Corredor E-25  - ninguna,
4042,DELUXE,RESTAURANTE,(1) Un tenedor,Av. Atahualpa sn sn,
4043,JOSSELYN CAMILA,RESTAURANTE,TERCERA,PARROQUIA TORATA VIA PRINCIPAL,
4044,CHIFA NUEVA VICTORIA,RESTAURANTE,TERCERA,MARCEL LANIADO Y JUAN MONTALVO,
4045,D´LIRIOS,RESTAURANTE,(4) Cuatro tenedores,,
4046,SARITA Y SU PESCADO SALTARIN,RESTAURANTE,TERCERA,APOLINARIO GALVEZ Y JOSE UGARTE,
4047,CAÑITAS LAS ,RESTAURANTE,SEGUNDA,PARROQUIA PUERTO HUALTACO,
4048,CARMITA RJ,RESTAURANTE,TERCERA,SITIO EL PACHE,
4049,ESTRELLA 14 BARCELONA,RESTAURANTE,TERCERA,CARCHI Y LOJA,
4050,CUADRITOS PIZZA I,FUENTE DE SODA,TERCERA,AV. 25 DE JUNIO Y PAEZ,
4051,CUADRITOS PIZZA II,FUENTE DE SODA,TERCERA,AV. ARIZAGA S/N Y 25 DE JUNIO,
4052,DREAM LOUNGE,DISCOTECA,SEGUNDA,JUAN MONTALVO Y TRANSVERSAL MACHALA,
4053,EL CHOZÓN,HOSTERÍA,4 Estrellas,PRINCIPAL S/N AV. PRINCIPAL,
4054,TEQUILAZO'S ORALE ,BAR,TERCERA,MANUELA CAÑIZARES Y NAPO,
4055,BAR CLUB  LA 3,BAR,SEGUNDA,"AV.VICTOR SOTO, BARRIO CENTRAL",
4056,MI CABAÑA,RESTAURANTE,(1) Un tenedor,,
4057,JAVIER COSTA VERDE,RESTAURANTE,TERCERA,AV. LA REPUBLICA Y EUGENIO ESPEJO,
4058,OLD BAR 93,BAR,TERCERA,AZUAY Y 9 DE OCTUBRE,
4059,MOSQUERA,HOTEL,2 Estrellas,OLMEDO 1208 GUAYAS Y AYACUCHO,www.hotelesenmachala.com
4060,MUNDO REAL,RESTAURANTE,TERCERA,CALLE PICHINCHA Y TARQUI,
4061,DI LOREN`S RESTAURANT,RESTAURANTE,CUARTA,LIZARDO GARCIA 1017 Y AYACUCHO,
4062,BOLIVAR INTERNACIONAL,HOSTAL,1 Estrellas,AV. SIMÓN BOLIVAR 306 CALLE COLON,
4063,HOTEL ORO VERDE MACHALA,HOTEL,5 Estrellas,GENERAL THELMO SANDOVAL  SN CIRCUNVALACION NORTE,www.oroverdemachala.com
4064,GLENDATUR,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,BOLIVAR 912 9 DE MAYO Y GUAYAS,
4065,RIZZO,HOTEL,PRIMERA,GUAYAS E/BOLIVAR Y PICHINCHA,www.rizzohotel.com
4066,PERLA DEL PACIFICO,HOTEL,2 Estrellas,SUCRE 826 PAEZ,
4067,ROSAL EL,RESTAURANTE,TERCERA, COLON Y CHAVEZ FRANCO,
4068,OROTUR,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,BOLIVAR 924 / 9 DE MAYO Y GUAYAS,
4069,J Y M ,CAFETERÍA,TERCERA,MODESTO CHAVEZ FRANCO,
4070,ASADERO DE POLLO B,RESTAURANTE,TERCERA,COLON Y 1ERO DE MAYO,
4071,AL GALOPE,RESTAURANTE,CUARTA,"TENGUEL, KM. 145 VÍA A MACHALA",
4072,MERCEDES NEIRA DE QUEZADA,SALA DE RECEPCIONES Y BANQUETES,PRIMERA,AV. PRINCIPAL,
4073,HOTEL CIUDAD DE PIÑAS,HOTEL,2 Estrellas,SUCRE S/N HEROES DE PANUPALI,www.cooppinas.com
4074,ROSETUR,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,BOLIVAR E/ GUAYAS Y AYACUCHO,www.agenciarosetour.com
4075,ECUAPULLMAN,HOTEL,2 Estrellas,AV 25 DE JUNIO 533 COLON,www.hotelecuatoriano.com
4076,REGAL,HOTEL,4 Estrellas,BOLIVAR SN GUAYAS Y AYACUCHO,
4077,BELEN TOUR,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,JUAN MONTALVO 2240 E/ BOLIVAR Y PICHINCHA,
4078,REPRESENTACIONES TURISTICAS Y COMERCIALES S.G. CIA,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,SUCRE Y 15 DE OCTUBRE,
4079,MARCUVER TRAVEL CIA. LIMITADA,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,TARQUI 01 BOLIVAR,
4080,PRISATURIS,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,"AYACUCHO E/25 DE JUNIO Y ROCAFUERTE, EDIFICIO PASEO DEL CENTRO LOCAL 1",
4081,KATHRYN TRAVEL S. A.,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,PALMERAS S/N PALMERAS  Y 25 DE JUNIO,
4082,DORISTOUR CIA LTDA,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,GUAYAS 2130 PICHINCHA,
4083,DORISTOUR CIA. LTDA.,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,TENIENTE CORDOVEZ Y SANTA ROSA,
4084,CRISTYVIAJES S A,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,JUAN MONTALVO 2305 PICHINCHA Y ARIZAGA,www.cristyviajes.com.ec
4085,COTURCIP S.A. / CIUDAD DE LAS PALMERAS,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,SUCRE 210 Y PICHINCHA,
4086,TRANSOROVIAJES S.A.,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,GUAYAS E/ PICHINCHA Y ARIZAGA,
4087,ALFAMAR TRAVEL CIA LTDA SUCURSAL,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,10 DE AGOSTO 12-07 SUCRE  Y BOLIVAR,
4088,TRANSFROSUR  CIA. LTDA.,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,SANTA ROSA Y BENALCAZAR,
4089,TRANSFROSUR,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,BARRIO CORDOVA AV. 3 ENTRE CALLE 15 Y 16,
4090,TRANSPORTE TERRESTRE TRANSFROSUR,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,ESCOBEDO 1524 ENTRE AGUIRRE Y CLEMENTE BALLEN ,
4091,ROYAL,HOTEL,3 Estrellas,JUNIN S/N SUCRE Y OLMEDO,
4092,COMBALMART CIA. LTDA,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,"CDLA. DEL EJERCITO ECUATORIANO , AV. 8 DE NOVIEMBRE",
4093,PARADISE ENTERTAINMENT ,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,"BOLIVAR S/N Y 9 DE MAYO,C.C. LA UNION, OFICINA 7",www.myspace.com/paradisetourecuador
4094,OCEANBLUE CIA. LTDA,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,ARIZAGA S/N E/9 DE MAYO Y GUAYAS,
4095,GRAN PIRAMIDE ORENSE,HOSTAL,1 Estrellas,TARQUI 1019 MARCEL LANIADO Y OCTAVA NORTE,
4096,EXCELTURIS,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,TARQUI 1019 SEPTIMA Y OCTAVA NORTE,
4097,SERVIKLASSS S.A.,TRANSPORTE TERRESTRE,SERVICIO TRANSP.TERRES.TURIS.,ALEJANDRO BENITEZ Y VIA PAJONAL,
4098,ORO AVENTURE TOUR OPERADOR ,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,PLAZA LA INDEPENDENCIA PARQUE CENTRAL,
4099,DESTINOSORCES OPERADORA DE TURISMO CIA. LTDA.,OPERADOR TURÍSTICO,OPERADOR TURÍSTICO,"MIGUEL SANGURIMA Y AV, LA INDEPENDENCIA",
4100,INTEGRAL PLUS,AGENCIA DE VIAJES INTERNACIONAL,AGENCIA DE VIAJES INTERNACIONAL,ELOY ALFARO 614 JUAN MONTALVO Y JUNIN,www.integralplus.com.ec
4101,ALVATOURS DEL PACIFICO,AGENCIA DE VIAJES DUAL,AGENCIA DE VIAJES DUAL,GUAYAS 2113 E/ BOLIVAR Y PICHINCHA,
4102,CIUDAD DE PIÑAS,HOTEL,2 Estrellas,SUCRE SN HEROES DE PANUPALI,
